#T	Voltage	dV/dT
#(K)	(V)	(mV/K)
1.20	1.646540	-9.87
1.40	1.644290	-12.49
1.60	1.641570	-14.79
1.80	1.638370	-17.15
2.00	1.634720	-19.30
2.20	1.630670	-21.14
2.40	1.626290	-22.61
2.60	1.621660	-23.63
2.80	1.616870	-24.16
3.00	1.612000	-24.67
3.20	1.606970	-25.63
3.40	1.601730	-26.80
3.60	1.596260	-27.91
3.80	1.590570	-28.99
4.00	1.584650	-30.21
4.20	1.578480	-31.59
4.40	1.572020	-32.91
4.60	1.565330	-33.97
4.80	1.558450	-34.74
5.00	1.551450	-35.25
5.20	1.544360	-35.60
5.40	1.537210	-35.92
5.60	1.530000	-36.22
5.80	1.522730	-36.48
6.00	1.515410	-36.71
6.50	1.496980	-36.86
7.00	1.478680	-36.21
7.50	1.460860	-35.00
8.00	1.443740	-33.42
8.50	1.427470	-31.67
9.00	1.412070	-29.95
9.50	1.397510	-28.31
10.00	1.383730	-26.84
10.50	1.370650	-25.51
11.00	1.358200	-24.31
11.50	1.346320	-23.20
12.00	1.334990	-22.15
12.50	1.324160	-21.17
13.00	1.313810	-20.25
13.50	1.303900	-19.41
14.00	1.294390	-18.63
14.50	1.285260	-17.92
15.00	1.276450	-17.31
15.50	1.267940	-16.77
16.00	1.259670	-16.31
16.50	1.251610	-15.94
17.00	1.243720	-15.64
17.50	1.235960	-15.41
18.00	1.228300	-15.25
18.50	1.220700	-15.18
19.00	1.213110	-15.20
19.50	1.205480	-15.34
20.00	1.197748	-15.63
21.00	1.181548	-16.98
22.00	1.162797	-21.11
23.00	1.140817	-20.77
24.00	1.125923	-9.42
25.00	1.119448	-4.60
26.00	1.115658	-3.19
27.00	1.112810	-2.58
28.00	1.110421	-2.25
29.00	1.108261	-2.08
30.00	1.106244	-1.96
31.00	1.104324	-1.88
32.00	1.102476	-1.82
33.00	1.100681	-1.77
34.00	1.098930	-1.73
35.00	1.097216	-1.70
36.00	1.095534	-1.67
37.00	1.093878	-1.64
38.00	1.092244	-1.62
39.00	1.090627	-1.61
40.00	1.089024	-1.60
42.00	1.085842	-1.59
44.00	1.082669	-1.59
46.00	1.079492	-1.59
48.00	1.076303	-1.60
50.00	1.073099	-1.61
52.00	1.069881	-1.61
54.00	1.066650	-1.62
56.00	1.063403	-1.63
58.00	1.060141	-1.64
60.00	1.056862	-1.64
65.00	1.048584	-1.67
70.00	1.040183	-1.69
75.00	1.031651	-1.72
77.35	1.027594	-1.73
80.00	1.022984	-1.75
85.00	1.014181	-1.77
90.00	1.005244	-1.80
95.00	0.996174	-1.83
100.00	0.986974	-1.85
105.00	0.977650	-1.88
110.00	0.968209	-1.90
115.00	0.958657	-1.92
120.00	0.949000	-1.94
125.00	0.939242	-1.96
130.00	0.929390	-1.98
135.00	0.919446	-2.00
140.00	0.909416	-2.01
145.00	0.899304	-2.03
150.00	0.889114	-2.05
155.00	0.878851	-2.06
160.00	0.868518	-2.07
165.00	0.858120	-2.09
170.00	0.847659	-2.10
175.00	0.837138	-2.11
180.00	0.826560	-2.12
185.00	0.815928	-2.13
190.00	0.805242	-2.14
195.00	0.794505	-2.15
200.00	0.783720	-2.16
210.00	0.762007	-2.18
220.00	0.740115	-2.20
230.00	0.718054	-2.21
240.00	0.695834	-2.23
250.00	0.673462	-2.24
260.00	0.650949	-2.26
270.00	0.628302	-2.27
273.15	0.621141	-2.28
280.00	0.605528	-2.28
290.00	0.582637	-2.29
300.00	0.559639	-2.30
305.00	0.548102	-2.31
310.00	0.536542	-2.31
320.00	0.513361	-2.32
330.00	0.490106	-2.33
340.00	0.466760	-2.34
350.00	0.443371	-2.34
360.00	0.419960	-2.34
370.00	0.396503	-2.35
380.00	0.373002	-2.35
390.00	0.349453	-2.36
400.00	0.325839	-2.36
410.00	0.302161	-2.37
420.00	0.278416	-2.38
430.00	0.254592	-2.39
440.00	0.230697	-2.39
450.00	0.206758	-2.39
460.00	0.182832	-2.39
470.00	0.159010	-2.37
480.00	0.135480	-2.33
490.00	0.112553	-2.25
500.00	0.090681	-2.12
